epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.91955,0,44.8704,0,0,0,0,0,0,40.1973,0,3.334e-05,3.334e-05,3.334e-05
2,11.1475,0,44.5339,0,0,0,0,0,0,40.2855,0,8.25248e-05,8.25248e-05,8.25248e-05
3,16.3112,0,43.9053,0,0,0,0,0,0,40.3137,0,0.000130719,0.000130719,0.000130719
4,21.3924,0,43.419,0,0,0,0,0,0,40.3441,0,0.000177924,0.000177924,0.000177924
5,26.5282,0,42.9497,0,0,0,0,0,0,40.3375,0,0.000224138,0.000224138,0.000224138
6,31.5817,0,42.4573,0,0,0,0,0,0,40.2959,0,0.000269362,0.000269362,0.000269362
7,36.4522,0,41.7129,0,0,0,0,0,0,40.2835,0,0.000313596,0.000313596,0.000313596
8,41.4259,0,40.5739,0,0,0,0,0,0,40.2859,0,0.00035684,0.00035684,0.00035684
9,46.3697,0,39.7443,0,0,0,0,0,0,40.3241,0,0.000399093,0.000399093,0.000399093
10,51.3652,0,38.9477,0,0,0,0,0,0,40.3541,0,0.000440356,0.000440356,0.000440356
11,56.3709,0,37.9829,0,0,0,0,0,0,40.4898,0,0.000480629,0.000480629,0.000480629
12,61.2615,0,36.9541,0,0,0,0,0,0,42.4107,0,0.000519912,0.000519912,0.000519912
13,66.1436,0,36.5499,0,0,0,0,0,0,47.0017,0,0.000558205,0.000558205,0.000558205
14,71.0434,0,35.5974,0,0,0,0,0,0,51.2652,0,0.000595507,0.000595507,0.000595507
15,75.9605,0,34.7927,0,0,0,0,0,0,51.2652,0,0.00063182,0.00063182,0.00063182
16,80.8833,0,34.2248,0,0,0,0,0,0,67.6672,0,0.000667142,0.000667142,0.000667142
17,85.8015,0,33.8682,0,0,0,0,0,0,205.25,0,0.000701474,0.000701474,0.000701474
18,90.9394,0,33.2906,0,0,0,0,0,0,205.25,0,0.000734815,0.000734815,0.000734815
19,95.8937,0,32.7579,0,0,0,0,0,0,253.162,0,0.000767167,0.000767167,0.000767167
20,100.956,0,32.7183,0,0,0,0,0,0,147.843,0,0.000798528,0.000798528,0.000798528
21,105.737,0,31.6864,0,0,0,0,0,0,147.843,0,0.000828899,0.000828899,0.000828899
22,110.534,0,31.8679,0,0,0,0,0,0,76.6373,0,0.00085828,0.00085828,0.00085828
23,115.373,0,31.3969,0,0,0,0,0,0,76.6373,0,0.000886671,0.000886671,0.000886671
24,120.365,0,31.615,0,0,0,0,0,0,31.2277,0,0.000914071,0.000914071,0.000914071
